state,year,total_pop,young_males (15-34 yrs),ethanol_all_drinks_gallons_per_capita,total_gdp (Millions of current dollars) 
West Virginia,2005,1771750,219274,1.73,53259
Wisconsin,2005,5375751,721774,2.95,225697.9
Wyoming,2005,495226,66670,2.41,27177.6
Alabama,2006,4599030,623648,1.95,163853.6
Alaska,2006,670053,106500,2.75,44435.3
Arizona,2006,6166318,915813,2.51,248230.7
Arkansas,2006,2810872,383633,1.75,94384.5
California,2006,36457549,5540729,2.29,1874737.3
Colorado,2006,4753377,716088,2.72,231205.9
Connecticut,2006,3504809,446942,2.3,222889.1
Delaware,2006,853476,112952,3.26,55067.4
District of Columbia,2006,581530,91468,3.94,88517.2
Florida,2006,18089889,2349948,2.7,744464.2
Georgia,2006,9363941,1381243,2.1,402144.6
Hawaii,2006,1285498,187320,2.52,62365
Idaho,2006,1466465,218378,2.53,50976.3
Illinois,2006,12831970,1851709,2.35,621859.9
Indiana,2006,6313520,887080,2,255054.6
Iowa,2006,2982085,409305,2.2,126884.2
Kansas,2006,2764075,395179,1.94,112650.3
Kentucky,2006,4206074,580290,1.82,151006.8
Louisiana,2006,4287768,606261,2.63,205799.5
Maine,2006,1321574,163632,2.54,47921.1
Maryland,2006,5615727,747070,2.18,279468.3
Massachusetts,2006,6437193,861706,2.56,361266
Michigan,2006,10095643,1371369,2.18,395451
Minnesota,2006,5167101,725119,2.4,249735
Mississippi,2006,2910540,407231,2.23,85869
Missouri,2006,5842713,801472,2.37,231771.5
Montana,2006,944632,129273,2.87,32933.3
Nebraska,2006,1768331,254083,2.35,78150
Nevada,2006,2495529,359880,3.63,127575.7
New Hampshire,2006,1314895,168713,4.28,59411.6
New Jersey,2006,8724560,1133960,2.33,464458.9
New Mexico,2006,1954599,279551,2.36,77426.1
New York,2006,19306183,2644719,2.01,1071393.1
North Carolina,2006,8856505,1242073,2.01,383522.3
North Dakota,2006,635867,95417,2.7,26120
Ohio,2006,11478006,1537985,2.01,477180.4
Oklahoma,2006,3579212,510103,1.87,137083.6
Oregon,2006,3700758,519688,2.59,155153.3
Pennsylvania,2006,12440621,1610091,2.1,526396.3
Rhode Island,2006,1067610,144793,2.41,47711.8
South Carolina,2006,4321249,596072,2.45,150659.1
South Dakota,2006,781919,108462,2.5,31898.6
Tennessee,2006,6038803,834209,1.89,240193.9
Texas,2006,23507783,3583101,2.24,1085294.9
Utah,2006,2550063,433797,1.33,106124.2
Vermont,2006,623908,82260,2.73,24309.8
Virginia,2006,7642884,1071779,2.08,379129.4
Washington,2006,6395798,913396,2.28,317167.2
West Virginia,2006,1818470,235059,1.72,56530
Wisconsin,2006,5556506,772301,2.99,235708.6
Wyoming,2006,515004,73953,2.72,32405.1
Alabama,2007,4627851,623678,2,169678.4
Alaska,2007,683478,115438,2.53,48972.6
Arizona,2007,6338755,931721,2.51,262322
Arkansas,2007,2834797,383600,1.69,96948.2
California,2007,36553215,5566034,2.3,1955856
Colorado,2007,4861515,726856,2.78,246043.5
Connecticut,2007,3502309,446112,2.33,237542.7
Delaware,2007,864764,112155,3.19,56278.5
District of Columbia,2007,588292,95871,4,93970
Florida,2007,18251243,2360633,2.68,768661
Georgia,2007,9544750,1375966,2.1,415131.9
Hawaii,2007,1283388,186294,2.55,65233.5
Idaho,2007,1499402,217874,2.58,53852.1
Illinois,2007,12852548,1851052,2.38,647862.1
Indiana,2007,6345289,880791,2.09,269053.6
Iowa,2007,2988047,405322,2.25,136977
Kansas,2007,2775997,394560,1.96,122453.3
Kentucky,2007,4241474,582684,1.85,154531.7
Louisiana,2007,4293204,610580,2.66,206641.1
Maine,2007,1317207,159323,2.57,49148.6
Maryland,2007,5618344,752628,2.2,287872.8
Massachusetts,2007,6449755,864967,2.59,379877.2
Michigan,2007,10071822,1361930,2.19,403735.8
Minnesota,2007,5197621,725156,2.6,258827.2
Mississippi,2007,2918785,410639,2.26,91057.6
Missouri,2007,5878415,798730,2.4,240158.8
Montana,2007,957861,131789,2.94,36074.1
Nebraska,2007,1774571,251659,2.31,83122.8
Nevada,2007,2565382,364484,3.52,131599.8
New Hampshire,2007,1315828,165859,4.36,60732.7
New Jersey,2007,8685920,1129366,2.33,480539
New Mexico,2007,1969915,285926,2.39,80572.8
New York,2007,19297729,2669714,2.1,1108896
North Carolina,2007,9061032,1246190,2.04,396347.6
North Dakota,2007,639715,99347,2.82,28679.7
Ohio,2007,11466917,1526166,2.04,490965
Oklahoma,2007,3617316,525566,1.91,144893.3
Oregon,2007,3747455,517793,2.65,161512
Pennsylvania,2007,12432792,1612199,2.18,560753.4
Rhode Island,2007,1057832,143874,2.45,47845.6
South Carolina,2007,4407709,598646,2.42,159362.5
South Dakota,2007,796215,111644,2.61,34701.6
Tennessee,2007,6156719,834010,1.9,244252.4
Texas,2007,23904380,3606231,2.24,1178583.1
Utah,2007,2645330,455901,1.38,114652.7
Vermont,2007,621254,80754,2.78,24696.8
Virginia,2007,7712091,1083926,2.1,392917.3
Washington,2007,6468424,913976,2.38,346442.8
West Virginia,2007,1812035,230453,1.75,58635.8
Wisconsin,2007,5601640,772937,3,243766.7
Wyoming,2007,522830,76610,2.8,36602.5
Alabama,2008,4661900,631696,2.01,172686.8
Alaska,2008,686293,115219,2.78,54752.4
Arizona,2008,6500180,945077,2.48,259366.7
Arkansas,2008,2855390,387278,1.77,98955.3
California,2008,36756666,5563295,2.3,1990678.2
Colorado,2008,4939456,734976,2.77,255566.8
Connecticut,2008,3501252,448138,2.36,240910.9
Delaware,2008,873092,113825,3.15,54787.5
District of Columbia,2008,591833,96725,4,99478.5
Florida,2008,18328340,2355991,2.61,750501.6
Georgia,2008,9685744,1380378,2.06,412911.9
Hawaii,2008,1288198,187287,2.56,66864.7
Idaho,2008,1523816,221330,2.64,55546
Illinois,2008,12901564,1856894,2.34,646366.6
Indiana,2008,6376792,879356,2.08,272845.6
Iowa,2008,3002557,411035,2.3,136553.6
Kansas,2008,2802134,401218,2.01,127682.4
Kentucky,2008,4269245,572843,1.85,158099
Louisiana,2008,4410796,621441,2.64,215068.9
Maine,2008,1316456,157179,2.56,49973.8
Maryland,2008,5633597,756859,2.19,296435.4
Massachusetts,2008,6497967,880553,2.54,388583.2
Michigan,2008,10003422,1347071,2.22,386053.9
Minnesota,2008,5220393,728262,2.6,264688
Mississippi,2008,2938618,415514,2.28,96843.6
Missouri,2008,5911605,803865,2.42,250581.1
Montana,2008,967440,130589,2.97,36862.5
Nebraska,2008,1783432,253500,2.33,85200.6
Nevada,2008,2600167,369579,3.53,129372.4
New Hampshire,2008,1315809,164786,4.39,60918.7
New Jersey,2008,8682661,1121738,2.35,495121.8
New Mexico,2008,1984356,281080,2.43,83724.2
New York,2008,19490297,2691616,2.08,1099234.4
North Carolina,2008,9222414,1272670,2.03,413363.3
North Dakota,2008,641481,101969,2.94,31722.1
Ohio,2008,11485910,1525968,2.05,495742.6
Oklahoma,2008,3642361,523566,1.97,159660
Oregon,2008,3790060,522643,2.54,165189.1
Pennsylvania,2008,12448279,1607452,2.23,582240.2
Rhode Island,2008,1050788,142180,2.46,47107.8
South Carolina,2008,4479800,613723,2.4,161804.7
South Dakota,2008,804194,111470,2.66,36668.5
Tennessee,2008,6214888,827117,1.87,251609
Texas,2008,24326974,3662953,2.28,1237394.9
Utah,2008,2736424,463752,1.41,115985.4
Vermont,2008,621270,80655,2.79,25678
Virginia,2008,7769089,1090963,2.12,399032.1
Washington,2008,6549224,927914,2.37,355677.8
West Virginia,2008,1814468,233126,1.79,62066.7
Wisconsin,2008,5627968,771990,3.01,244759.9
Wyoming,2008,532668,77796,2.87,42540.4
Alabama,2009,4708708,643397,1.98,168348
Alaska,2009,698473,116086,3.02,49585.9
Arizona,2009,6595778,964562,2.38,243929.4
Arkansas,2009,2889450,395191,1.78,97058.9
California,2009,36961664,5579556,2.28,1920061.8
Colorado,2009,5024748,745549,2.7,248593.6
Connecticut,2009,3518288,459380,2.31,236393.2
Delaware,2009,885122,117582,3.31,56871.2
District of Columbia,2009,599657,94967,3.88,100894.6
Florida,2009,18537969,2435495,2.58,724582.2
Georgia,2009,9829211,1424921,2.01,407024.5
Hawaii,2009,1295178,194381,2.49,65692
Idaho,2009,1545801,225261,2.67,53775
Illinois,2009,12910409,1843840,2.36,644690.1
Indiana,2009,6423113,891489,2.05,261238.3
Iowa,2009,3007857,415081,2.31,136251.2
Kansas,2009,2818747,407059,1.99,124340.7
Kentucky,2009,4314113,593716,1.85,155779.7
Louisiana,2009,4492076,644776,2.63,206884.9
Maine,2009,1318301,162320,2.55,50556.5
Maryland,2009,5699478,777239,2.19,302507.3
Massachusetts,2009,6593587,892441,2.49,391265.1
Michigan,2009,9969727,1334489,2.23,365591.7
Minnesota,2009,5266215,732732,2.59,259958.7
Mississippi,2009,2951996,419028,2.26,93205.6
Missouri,2009,5987580,821477,2.43,251780
Montana,2009,974989,134533,2.96,35983.9
Nebraska,2009,1796622,260559,2.29,86830.3
Nevada,2009,2643085,380849,3.21,121109.5
New Hampshire,2009,1324575,168932,4.47,61937.4
New Jersey,2009,8707740,1140033,2.34,486512.8
New Mexico,2009,2009671,290257,2.38,82017.4
New York,2009,19541453,2707053,2.08,1152812.1
North Carolina,2009,9380884,1306615,1.99,406477.4
North Dakota,2009,646844,102048,2.96,32002.5
Ohio,2009,11542645,1538719,2.03,480322
Oklahoma,2009,3687050,540273,1.93,145736.4
Oregon,2009,3825657,530086,2.59,160640.7
Pennsylvania,2009,12604767,1656897,2.27,577379.8
Rhode Island,2009,1053209,146113,2.47,47901.4
South Carolina,2009,4561242,629216,2.34,159835.6
South Dakota,2009,812383,116959,2.65,36193.1
Tennessee,2009,6296254,853497,1.83,250544.4
Texas,2009,24782302,3729456,2.26,1163401.3
Utah,2009,2784572,465169,1.36,113332.9
Vermont,2009,621760,83930,2.77,25867.8
Virginia,2009,7882590,1126981,2.11,408918.7
Washington,2009,6664195,961248,2.34,353632
West Virginia,2009,1819777,235320,1.77,62957.8
Wisconsin,2009,5654774,782018,2.96,245539
Wyoming,2009,544270,82353,2.73,36042.2
Alabama,2010,4785298,641988,1.98,174753
Alaska,2010,713985,111811,3.03,52882.5
Arizona,2010,6413737,906419,2.39,248210
Arkansas,2010,2921606,391825,1.77,101690
California,2010,37349363,5628626,2.16,1974614.5
Colorado,2010,5049071,735257,2.71,255140.5
Connecticut,2010,3577073,454508,2.35,237653.4
Delaware,2010,899769,120566,3.38,57447.4
District of Columbia,2010,604453,107604,3.83,106120.3
Florida,2010,18843326,2417398,2.5,737791.1
Georgia,2010,9712587,1366130,1.98,416883.8
Hawaii,2010,1363621,192207,2.48,68196.9
Idaho,2010,1571450,219710,2.68,55170.7
Illinois,2010,12843166,1806739,2.35,662637.8
Indiana,2010,6490621,892424,2.03,280120.7
Iowa,2010,3049883,413911,2.3,141482
Kansas,2010,2859169,400834,1.95,127744.8
Kentucky,2010,4346266,586798,1.83,164605.5
Louisiana,2010,4544228,651208,2.55,225677
Maine,2010,1327567,156806,2.56,51710.7
Maryland,2010,5785982,783811,2.21,316451.5
Massachusetts,2010,6557254,889078,2.5,409762.5
Michigan,2010,9877574,1298210,2.23,386625.9
Minnesota,2010,5310584,731005,2.44,271821.2
Mississippi,2010,2970036,406285,2.22,95208.4
Missouri,2010,5996231,810380,2.41,258544.1
Montana,2010,990898,133823,2.98,38054.6
Nebraska,2010,1830429,254927,2.28,91812.8
Nevada,2010,2704642,384118,3.3,123598.1
New Hampshire,2010,1316759,160422,4.5,64151.6
New Jersey,2010,8801624,1142334,2.35,495149
New Mexico,2010,2065932,286404,2.28,83989.2
New York,2010,19392283,2724383,2.09,1213946.9
North Carolina,2010,9561558,1293099,2.01,415206.4
North Dakota,2010,674499,105002,2.93,35426.3
Ohio,2010,11536182,1507232,2.02,497208.2
Oklahoma,2010,3761702,528015,1.92,152911.4
Oregon,2010,3838957,524525,2.51,163827.6
Pennsylvania,2010,12709630,1664143,2.3,599312.8
Rhode Island,2010,1052886,143537,2.55,49571.8
South Carolina,2010,4636312,629923,2.31,163856.8
South Dakota,2010,816463,114647,2.69,37484.4
Tennessee,2010,6356897,844219,1.88,255935.8
Texas,2010,25257114,3730353,2.23,1237196.8
Utah,2010,2776469,457453,1.35,117960.5
Vermont,2010,625960,81320,2.8,27108.4
Virginia,2010,8024617,1123162,2.12,422902
Washington,2010,6744496,953419,2.25,365551.9
West Virginia,2010,1853973,234522,1.78,65274.1
Wisconsin,2010,5691047,767829,2.94,254354.1
Wyoming,2010,564460,80619,2.66,37401.2
Alabama,2011,4802740,643889,1.98,181349.8
Alaska,2011,722718,113572,2.86,56259.9
Arizona,2011,6482505,919277,2.39,257947.8
Arkansas,2011,2937979,396463,1.72,106085.4
California,2011,37691912,5680268,2.25,2050056.8
Colorado,2011,5116796,748239,2.73,264431.6
Connecticut,2011,3580709,461465,2.35,236523.7
Delaware,2011,907135,120043,3.55,60357.4
District of Columbia,2011,617996,109051,3.82,110076.2
Florida,2011,19057542,2463369,2.54,746787.5
Georgia,2011,9815210,1387973,1.98,429574
Hawaii,2011,1374810,195907,2.52,70482.6
Idaho,2011,1584985,222119,2.65,56488.1
Illinois,2011,12869259,1811936,2.35,688288.9
Indiana,2011,6516922,900936,2.02,288749.1
Iowa,2011,3062309,417383,2.37,147227
Kansas,2011,2871238,405367,1.9,135315.3
Kentucky,2011,4369356,587468,1.79,169940.7
Louisiana,2011,4574836,650264,2.57,228987.5
Maine,2011,1328188,157313,2.6,51866.7
Maryland,2011,5828289,796451,2.19,328058.4
Massachusetts,2011,6587536,896128,2.54,425593.2
Michigan,2011,9876187,1309300,2.25,401105.4
Minnesota,2011,5344861,738978,2.47,283807.3
Mississippi,2011,2978512,405169,2.22,96371.6
Missouri,2011,6010688,816456,2.45,260093.5
Montana,2011,998199,135385,2.97,40579.3
Nebraska,2011,1842641,257327,2.28,99613.4
Nevada,2011,2723322,381789,3.35,126657.1
New Hampshire,2011,1318194,163601,4.77,65430.5
New Jersey,2011,8821155,1148769,2.36,499114.9
New Mexico,2011,2082224,294401,2.35,86625
New York,2011,19465197,2746885,2.11,1236061.4
North Carolina,2011,9656401,1298418,2.01,427205.6
North Dakota,2011,683932,107330,3.18,41179.2
Ohio,2011,11544951,1509479,2.02,525388.4
Oklahoma,2011,3791508,538888,1.92,165035.6
Oregon,2011,3871859,528320,2.59,170621.3
Pennsylvania,2011,12742886,1674434,2.33,618987.7
Rhode Island,2011,1051302,145597,2.55,50175.9
South Carolina,2011,4679230,634535,2.31,170087.2
South Dakota,2011,824082,112699,2.77,41541.5
Tennessee,2011,6403353,853213,2.04,267659.1
Texas,2011,25674681,3794998,2.27,1331220.6
Utah,2011,2817222,456477,1.36,124539.4
Vermont,2011,626431,80737,2.85,28135.1
Virginia,2011,8096604,1141546,2.12,432392.7
Washington,2011,6830038,974657,2.25,379539
West Virginia,2011,1855364,233906,1.78,68524.9
Wisconsin,2011,5711767,775948,2.98,263881.6
Wyoming,2011,568158,83203,2.66,39370.7
Alabama,2012,4822023,638416,2,186299
Alaska,2012,731449,117041,2.83,57670.1
Arizona,2012,6553255,928953,2.43,268288.8
Arkansas,2012,2949131,395026,1.81,108745.2
California,2012,38041430,5722049,2.35,2144497.3
Colorado,2012,5187582,759832,2.76,273519.5
Connecticut,2012,3590347,467004,2.39,243801
Delaware,2012,917092,121399,3.59,61975.8
District of Columbia,2012,632323,111089,3.85,112736.5
Florida,2012,19317568,2481598,2.72,769309.1
Georgia,2012,9919945,1400894,1.98,444132.2
Hawaii,2012,1392313,205705,2.54,73582.7
Idaho,2012,1595728,221905,2.77,57764.4
Illinois,2012,12875255,1807981,2.36,720702.3
Indiana,2012,6537334,896877,2.08,297552.7
Iowa,2012,3074186,421509,2.4,157250.8
Kansas,2012,2885905,413728,1.95,140477.8
Kentucky,2012,4380415,588394,1.87,176302.3
Louisiana,2012,4601893,653675,2.59,233623.1
Maine,2012,1329192,157154,2.65,52874
Maryland,2012,5884563,805795,2.2,334821.6
Massachusetts,2012,6646144,912004,2.57,444329.8
Michigan,2012,9883360,1306837,2.27,418857.4
Minnesota,2012,5379139,738232,2.71,294296.6
Mississippi,2012,2984926,408552,2.24,99614.6
Missouri,2012,6021988,818383,2.42,268761.5
Montana,2012,1005141,133492,3.07,42005.8
Nebraska,2012,1855525,260249,2.31,102269
Nevada,2012,2758931,388913,3.27,128043
New Hampshire,2012,1320718,164328,4.65,67689.2
New Jersey,2012,8864590,1158483,2.39,519745.8
New Mexico,2012,2085538,291829,2.36,87601.6
New York,2012,19570261,2763039,2.17,1322447.9
North Carolina,2012,9752073,1316011,2.05,439571
North Dakota,2012,699628,112512,3.42,51345.1
Ohio,2012,11544225,1517835,2.03,540819.3
Oklahoma,2012,3814820,541642,1.94,173483.7
Oregon,2012,3899353,532872,2.66,174493.1
Pennsylvania,2012,12763536,1688416,2.34,641317.3
Rhode Island,2012,1050292,144812,2.58,51642
South Carolina,2012,4723723,635429,2.32,175374.8
South Dakota,2012,833354,117944,2.76,43444.6
Tennessee,2012,6456243,862515,2,283721.8
Texas,2012,26059203,3867412,2.28,1411378.7
Utah,2012,2855287,458913,1.37,128721
Vermont,2012,626011,81339,2.92,28887.4
Virginia,2012,8185867,1155409,2.12,444950
Washington,2012,6897012,974815,2.25,400863.3
West Virginia,2012,1855413,231937,1.8,69399
Wisconsin,2012,5726398,772664,3.02,274343.9
Wyoming,2012,576412,83933,2.73,38431.7
Alabama,2013,4833722,609609,1.99,191481
Alaska,2013,735132,118432,2.75,56622.8
Arizona,2013,6626624,883321,2.36,275199.1
Arkansas,2013,2959373,377825,1.81,114251.5
California,2013,38332521,5452111,2.33,2262771.2
Colorado,2013,5268367,727928,2.81,288305.2
Connecticut,2013,3596080,446503,2.37,246632
Delaware,2013,925749,114937,3.59,60666.1
District of Columbia,2013,646449,106616,3.84,114891
Florida,2013,19552860,2383162,2.72,800704.1
Georgia,2013,9992167,1334852,1.97,460585.1
Hawaii,2013,1404054,197734,2.56,75788.3
Idaho,2013,1612136,213456,2.81,61017.7
Illinois,2013,12882135,1716852,2.33,739627.9
Indiana,2013,6570902,842989,2.09,308681.7
Iowa,2013,3090416,398881,2.34,160299.8
Kansas,2013,2893957,396110,1.88,143220.7
Kentucky,2013,4395295,555173,1.85,182359.2
Louisiana,2013,4625470,625299,2.58,228967.4
Maine,2013,1328302,149675,2.69,53719
Maryland,2013,5928814,764672,2.17,341255.3
Massachusetts,2013,6692824,874719,2.56,454345.7
Michigan,2013,9895622,1233183,2.24,432717.6
Minnesota,2013,5420380,705506,2.72,306153
Mississippi,2013,2991207,392314,2.24,101638.1
Missouri,2013,6044171,777097,2.44,277851.1
Montana,2013,1015165,126772,3.07,43141
Nebraska,2013,1868516,247764,2.31,107604.3
Nevada,2013,2790136,372364,3.31,130621.4
New Hampshire,2013,1323459,156835,4.68,70181.9
New Jersey,2013,8899339,1109411,2.36,533686.7
New Mexico,2013,2085287,275682,2.35,88411.2
New York,2013,19651127,2625959,2.21,1355581.4
North Carolina,2013,9848060,1253487,2.03,455521.6
North Dakota,2013,723393,111463,3.38,53881.7
Ohio,2013,11570808,1445620,2.04,561045.5
Oklahoma,2013,3850568,514817,1.93,182618.4
Oregon,2013,3930065,507334,2.66,179382.7
Pennsylvania,2013,12773801,1590094,2.33,663900.8
Rhode Island,2013,1051511,140658,2.56,53209.9
South Carolina,2013,4774839,608670,2.31,183014.9
South Dakota,2013,844877,110231,2.81,44814.9
Tennessee,2013,6495978,818331,2,292803.9
Texas,2013,26448193,3723923,2.25,1502249.8
Utah,2013,2900872,436954,1.36,134252.1
Vermont,2013,626630,75512,3,29098.8
Virginia,2013,8260405,1102121,2.1,455070
Washington,2013,6971406,938678,2.24,419345
West Virginia,2013,1854304,219661,1.8,71037.6
Wisconsin,2013,5742713,731428,2.99,282384.6
Wyoming,2013,582658,79005,2.67,38922.5
Alabama,2014,4849377,607119,2,194059.7
Alaska,2014,736732,116174,2.79,55547.4
Arizona,2014,6731484,898409,2.37,284573.8
Arkansas,2014,2966369,377134,1.79,117339.1
California,2014,38802500,5492996,2.32,2396552.1
Colorado,2014,5355866,751296,2.77,306362
Connecticut,2014,3596677,449750,2.37,248954.2
Delaware,2014,935614,117151,3.59,67178.9
District of Columbia,2014,658893,109010,3.84,119994.4
Florida,2014,19893297,2420380,2.59,839706
Georgia,2014,10097343,1338751,1.96,484915.4
Hawaii,2014,1419561,200081,2.59,77972.5
Idaho,2014,1634464,214237,2.82,63614.9
Illinois,2014,12880580,1701983,2.32,765910.2
Indiana,2014,6596855,845556,2.05,325040.6
Iowa,2014,3107126,399945,2.37,171512.5
Kansas,2014,2904021,392007,1.93,148276.1
Kentucky,2014,4413457,557818,1.88,186694.5
Louisiana,2014,4649676,621326,2.58,237876.9
Maine,2014,1330089,148102,2.71,55875.1
Maryland,2014,5976407,775445,2.15,352524.3
Massachusetts,2014,6745408,884185,2.55,473454.4
Michigan,2014,9909877,1249119,2.32,448964.4
Minnesota,2014,5457173,711223,2.81,319338.9
Mississippi,2014,2994079,383487,2.23,103658.1
Missouri,2014,6063589,772940,2.4,284729.4
Montana,2014,1023579,129459,3.08,44529.2
Nebraska,2014,1881503,249870,2.3,111330.7
Nevada,2014,2839099,379509,3.36,135026.5
New Hampshire,2014,1326813,160810,4.54,72368.7
New Jersey,2014,8938175,1112671,2.37,546831.5
New Mexico,2014,2085572,279860,2.42,92495.9
New York,2014,19746227,2637918,2.2,1427812.7
North Carolina,2014,9943964,1257706,2.06,475227.2
North Dakota,2014,739482,112672,3.41,58547.4
Ohio,2014,11594163,1450221,2.03,593030
Oklahoma,2014,3878051,520022,1.91,195689
Oregon,2014,3970239,507231,2.7,189344.3
Pennsylvania,2014,12787209,1605161,2.34,690675.4
Rhode Island,2014,1055173,140714,2.39,54573.3
South Carolina,2014,4832482,610864,2.28,191967.4
South Dakota,2014,853175,113366,2.74,46057
Tennessee,2014,6549352,820551,2.02,304150.4
Texas,2014,26956958,3786091,2.24,1565390.2
Utah,2014,2942902,437588,1.37,141342.9
Vermont,2014,626562,77395,3.05,29714.4
Virginia,2014,8326289,1111213,2.11,463781.7
Washington,2014,7061530,959264,2.26,442442.4
West Virginia,2014,1850326,219972,1.78,72027.1
Wisconsin,2014,5757564,727916,2.97,293519.4
Wyoming,2014,584153,80379,2.72,39372.3