GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4802740,,2324413,5329,100841,1890,72928,3058,36549,3429,35868,3408,99386,4525,153100,3289,145217,2660
0400000US02,02,Alaska,722718,,372916,1425,15011,789,10360,1133,7715,1409,7243,1433,17620,1879,29825,1052,25798,1019
0400000US04,04,Arizona,6482505,,3228514,4431,137915,2038,95272,2848,55041,4687,49852,3965,136937,5650,227982,1970,216278,2367
0400000US05,05,Arkansas,2937979,,1447850,3826,60989,2121,41886,2461,26375,2895,22500,2506,53492,3624,96120,2371,95101,2771
0400000US06,06,California,37691912,,18750692,4823,843715,2273,580799,4173,323584,10168,309438,9016,854581,11467,1427525,3480,1340626,3533
0400000US08,08,Colorado,5116796,,2569136,4217,103218,2197,73650,1829,35645,3669,37341,3588,115028,5028,194171,2011,189186,2201
0400000US09,09,Connecticut,3580709,,1743795,1891,75717,974,53811,895,28771,2679,23964,2692,64368,3261,110102,942,104732,1140
0400000US10,10,Delaware,907135,,439918,939,18191,725,13470,884,6471,1412,5613,1282,20249,1818,29246,754,26803,521
0400000US11,11,District of Columbia,617996,,292283,485,8535,322,10414,1582,7319,1362,4859,1333,15459,1836,33725,73,28740,57
0400000US12,12,Florida,19057542,,9321149,7263,365346,3485,264437,5427,153504,8358,137604,7906,368749,8689,603502,4881,570227,4893
0400000US13,13,Georgia,9815210,,4808996,7576,211635,5120,160546,5590,80648,5653,78633,6528,203261,8075,324113,5115,329137,5103
0400000US15,15,Hawaii,1374810,,688600,1358,24910,771,16216,653,10514,1706,11069,1727,33175,2000,54030,1150,45993,932
0400000US16,16,Idaho,1584985,,794914,2358,34405,1062,24272,1808,13134,2256,9990,1738,33596,2827,53396,1525,53326,1660
0400000US17,17,Illinois,12869259,,6309308,4694,277885,1776,193672,2774,91966,4284,95724,4350,259694,6158,453173,2687,439822,2590
0400000US18,18,Indiana,6516922,,3206430,4000,142480,2388,103383,2857,47874,3460,46447,3568,140197,5048,208592,2251,211963,2696
0400000US19,19,Iowa,3062309,,1512251,2950,62132,1241,49401,1869,22017,2243,23356,2454,63909,3542,99871,1926,96697,1520
0400000US20,20,Kansas,2871238,,1423188,2574,61781,2118,44434,2300,20805,2375,24385,2759,63602,3520,98373,1990,91987,1435
0400000US21,21,Kentucky,4369356,,2143745,4175,90748,1804,62299,2267,33216,2689,31989,3062,88171,4252,139032,2019,142013,1649
0400000US22,22,Louisiana,4574836,,2236117,4028,95154,2099,71337,3339,34498,3409,36344,3492,99700,3912,161296,2773,151935,2674
0400000US23,23,Maine,1328188,,651076,1884,25563,626,18781,1048,11165,1310,7542,1093,21949,1507,36592,646,35721,642
0400000US24,24,Maryland,5828289,,2820212,3160,122063,1579,86057,2548,41439,3686,44359,3479,118358,3965,197531,2220,186644,2067
0400000US25,25,Massachusetts,6587536,,3187794,2018,131753,1429,101609,1546,55056,3827,50980,3147,131551,4640,221953,1429,203226,1697
0400000US26,26,Michigan,9876187,,4848677,3272,217186,2232,154282,2355,85798,4554,76743,3805,191460,5468,292560,2245,291271,2182
0400000US27,27,Minnesota,5344861,,2656471,3274,112076,1470,76470,1519,37892,2806,39790,2726,104015,3515,188625,1989,180110,1544
0400000US28,28,Mississippi,2978512,,1446634,4222,60692,2596,49792,2950,25568,2721,22086,2544,60525,4033,93557,2754,92949,3537
0400000US29,29,Missouri,6010688,,2945756,4369,126816,2364,87964,2441,44990,3460,44427,3044,118368,4402,202059,2132,191832,2350
0400000US30,30,Montana,998199,,500311,1724,20316,1060,12588,1086,8137,1719,7709,1578,22138,2435,32741,960,31756,1371
0400000US31,31,Nebraska,1842641,,912496,2903,38234,1053,27857,1100,14051,2175,16301,2281,36305,2184,64423,1094,60156,1341
0400000US32,32,Nevada,2723322,,1372750,2376,56498,1231,34107,1224,16854,2505,20816,2855,55081,3289,100446,1453,97987,1410
0400000US33,33,New Hampshire,1318194,,651060,1847,26723,507,19047,730,11401,1795,10637,1861,21744,1946,37354,942,36695,1203
0400000US34,34,New Jersey,8821155,,4298542,2384,186704,1488,120527,2020,64679,3915,54280,3504,162187,3842,280457,1760,279935,1726
0400000US35,35,New Mexico,2082224,,1036558,2872,44369,1755,31289,1794,15992,2685,16305,2557,45376,3218,73218,2064,67852,1940
0400000US36,36,New York,19465197,,9438007,3858,397117,1769,287710,2391,162301,5334,151777,6020,409129,7030,694699,2266,644152,2731
0400000US37,37,North Carolina,9656401,,4687843,7014,188833,4427,147065,5349,81084,5932,71784,4934,195212,7275,303970,4083,310470,4552
0400000US38,38,North Dakota,683932,,343944,1591,12099,484,11880,948,8015,1245,7627,1436,17526,1610,27306,965,22877,691
0400000US39,39,Ohio,11544951,,5641528,4404,242313,2075,169018,2676,89065,5165,84355,4687,216622,6085,356858,2022,351248,2318
0400000US40,40,Oklahoma,3791508,,1877843,3361,78046,1829,59413,2567,30600,3029,27989,2580,81943,3791,133366,1943,127531,1991
0400000US41,41,Oregon,3871859,,1914116,3146,74449,1513,54745,2297,26916,3410,30996,3175,73292,3568,132391,2010,135531,2209
0400000US42,42,Pennsylvania,12742886,,6216838,4073,262095,2063,194738,2720,104877,4828,97742,4608,246084,6134,394492,2376,374406,2123
0400000US44,44,Rhode Island,1051302,,508396,1139,20558,570,17956,893,9510,1284,10873,1601,21917,2082,34214,915,30569,791
0400000US45,45,South Carolina,4679230,,2274282,4993,94424,2408,75928,3546,43779,3580,37820,4227,91962,4572,146833,3005,143789,2877
0400000US46,46,South Dakota,824082,,410505,2116,16065,825,12436,1283,7044,1135,7872,1334,16393,1476,27983,984,24906,856
0400000US47,47,Tennessee,6403353,,3118951,5288,131424,2931,91950,3171,47142,4051,46659,4015,126475,5383,202197,3238,207366,3132
0400000US48,48,Texas,25674681,,12741162,7835,578556,3934,404230,5347,202756,8113,206135,7682,550961,11978,941826,4990,910534,5017
0400000US49,49,Utah,2817222,,1417639,2703,67061,1282,44864,1337,18813,2079,25145,2968,76547,3625,111304,1688,112743,1407
0400000US50,50,Vermont,626431,,308393,1059,12034,357,10694,550,5765,993,5221,935,12036,1086,17578,461,17409,533
0400000US51,51,Virginia,8096604,,3978779,6842,164576,3758,121611,4298,70158,4278,61529,3754,168100,5480,284040,4205,271532,4270
0400000US53,53,Washington,6830038,,3408061,4042,136361,2136,92762,1913,51478,3808,51962,4586,147658,5643,252359,2135,242077,2902
0400000US54,54,West Virginia,1855364,,914474,3200,34782,1043,26232,1484,14006,1920,12618,2030,36840,3134,52397,1316,57031,1738
0400000US55,55,Wisconsin,5711767,,2835132,3485,119066,1605,85019,1709,43403,3936,42261,3514,113659,4590,186423,1882,186117,2255
0400000US56,56,Wyoming,568158,,289416,1930,10534,1074,9766,1336,3609,1015,4916,974,12965,1535,21754,1104,19659,766
0400000US72,72,Puerto Rico,3706690,,1770224,2797,83368,2234,58063,2284,32813,2389,29528,2625,74524,3656,111182,1394,115948,1479
